Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Posts 338,1,11,11,11,0.00,0.000%,90.90909,119.85,175.78,1350.0
Posts 339,1,8,8,8,0.00,0.000%,125.00000,146.00,222.29,1196.0
Posts 340,1,7,7,7,0.00,0.000%,142.85714,162.39,244.98,1164.0
Posts 341,1,12,12,12,0.00,0.000%,83.33333,132.89,183.51,1633.0
Posts 342,1,11,11,11,0.00,0.000%,90.90909,147.55,202.06,1662.0
Posts 343,1,21,21,21,0.00,0.000%,47.61905,64.31,91.94,1383.0
Posts 344,1,66,66,66,0.00,0.000%,15.15152,20.88,29.49,1411.0
Posts 345,1,4,4,4,0.00,0.000%,250.00000,350.83,509.28,1437.0
Posts 346,1,8,8,8,0.00,0.000%,125.00000,166.87,246.58,1367.0
Posts 347,1,4,4,4,0.00,0.000%,250.00000,347.66,490.48,1424.0
Posts 348,1,4,4,4,0.00,0.000%,250.00000,420.17,561.52,1721.0
Posts 349,1,4,4,4,0.00,0.000%,250.00000,249.51,409.91,1022.0
Posts 350,1,5,5,5,0.00,0.000%,200.00000,283.79,397.85,1453.0
Posts 351,1,4,4,4,0.00,0.000%,250.00000,269.78,421.88,1105.0
Posts 352,1,5,5,5,0.00,0.000%,200.00000,287.30,411.13,1471.0
Posts 353,1,4,4,4,0.00,0.000%,250.00000,412.84,557.37,1691.0
Posts 354,1,6,6,6,0.00,0.000%,166.66667,240.56,337.73,1478.0
Posts 355,1,6,6,6,0.00,0.000%,166.66667,153.65,256.84,944.0
Posts 356,1,8,8,8,0.00,0.000%,125.00000,212.52,289.79,1741.0
Posts 357,1,4,4,4,0.00,0.000%,250.00000,354.98,507.32,1454.0
Posts 358,1,6,6,6,0.00,0.000%,166.66667,263.35,369.63,1618.0
Posts 359,1,5,5,5,0.00,0.000%,200.00000,216.21,330.47,1107.0
Posts 360,1,6,6,6,0.00,0.000%,166.66667,213.05,311.36,1309.0
Posts 361,1,7,7,7,0.00,0.000%,142.85714,151.65,238.84,1087.0
Posts 362,1,5,5,5,0.00,0.000%,200.00000,298.44,413.87,1528.0
Posts 363,1,5,5,5,0.00,0.000%,200.00000,267.97,385.35,1372.0
Posts 364,1,7,7,7,0.00,0.000%,142.85714,195.17,287.39,1399.0
Posts 365,1,5,5,5,0.00,0.000%,200.00000,351.17,464.06,1798.0
Posts 366,1,10,10,10,0.00,0.000%,100.00000,174.12,233.69,1783.0
Posts 367,1,13,13,13,0.00,0.000%,76.92308,82.41,128.38,1097.0
Posts 368,1,9,9,9,0.00,0.000%,111.11111,146.16,213.65,1347.0
Posts 369,1,9,9,9,0.00,0.000%,111.11111,124.89,195.42,1151.0
Posts 370,1,10,10,10,0.00,0.000%,100.00000,119.82,183.69,1227.0
Posts 371,1,6,6,6,0.00,0.000%,166.66667,237.63,335.45,1460.0
Posts 372,1,9,9,9,0.00,0.000%,111.11111,111.65,178.71,1029.0
Posts 373,1,13,13,13,0.00,0.000%,76.92308,110.35,156.17,1469.0
Posts 374,1,14,14,14,0.00,0.000%,71.42857,108.47,148.79,1555.0
Posts 375,1,6,6,6,0.00,0.000%,166.66667,205.89,312.66,1265.0
Posts 376,1,9,9,9,0.00,0.000%,111.11111,174.37,240.78,1607.0
Posts 377,1,6,6,6,0.00,0.000%,166.66667,140.30,249.84,862.0
Posts 378,1,8,8,8,0.00,0.000%,125.00000,126.34,201.29,1035.0
Posts 379,1,5,5,5,0.00,0.000%,200.00000,220.70,342.19,1130.0
Posts 380,1,8,8,8,0.00,0.000%,125.00000,139.89,220.58,1146.0
Posts 381,1,6,6,6,0.00,0.000%,166.66667,283.85,387.21,1744.0
Posts 382,1,5,5,5,0.00,0.000%,200.00000,290.04,417.97,1485.0
Posts 383,1,6,6,6,0.00,0.000%,166.66667,195.96,296.55,1204.0
Posts 384,1,5,5,5,0.00,0.000%,200.00000,363.28,480.47,1860.0
Posts 385,1,5,5,5,0.00,0.000%,200.00000,179.49,304.88,919.0
Posts 386,1,5,5,5,0.00,0.000%,200.00000,364.84,479.30,1868.0
Posts 387,1,5,5,5,0.00,0.000%,200.00000,313.48,430.08,1605.0
Posts 388,1,8,8,8,0.00,0.000%,125.00000,189.33,264.40,1551.0
Posts 389,1,8,8,8,0.00,0.000%,125.00000,129.52,206.05,1061.0
Posts 390,1,9,9,9,0.00,0.000%,111.11111,215.60,277.99,1987.0
Posts 391,1,7,7,7,0.00,0.000%,142.85714,135.60,225.03,972.0
Posts 392,1,5,5,5,0.00,0.000%,200.00000,245.70,367.77,1258.0
Posts 393,1,7,7,7,0.00,0.000%,142.85714,206.75,294.92,1482.0
Posts 394,1,7,7,7,0.00,0.000%,142.85714,146.62,233.68,1051.0
Posts 395,1,5,5,5,0.00,0.000%,200.00000,303.52,428.91,1554.0
Posts 396,1,31,31,31,0.00,0.000%,32.25806,43.00,63.67,1365.0
Posts 397,1,4,4,4,0.00,0.000%,250.00000,351.32,503.91,1439.0
Posts 398,1,3,3,3,0.00,0.000%,333.33333,353.19,550.13,1085.0
Posts 399,1,4,4,4,0.00,0.000%,250.00000,265.87,414.79,1089.0
Posts 400,1,9,9,9,0.00,0.000%,111.11111,163.30,226.13,1505.0
Posts 401,1,4,4,4,0.00,0.000%,250.00000,438.23,596.92,1795.0
Posts 402,1,5,5,5,0.00,0.000%,200.00000,356.64,480.08,1826.0
Posts 403,1,4,4,4,0.00,0.000%,250.00000,212.40,373.78,870.0
Posts 404,1,5,5,5,0.00,0.000%,200.00000,265.04,389.06,1357.0
Posts 405,1,5,5,5,0.00,0.000%,200.00000,191.99,318.95,983.0
Posts 406,1,4,4,4,0.00,0.000%,250.00000,343.75,497.56,1408.0
Posts 407,1,4,4,4,0.00,0.000%,250.00000,271.00,420.17,1110.0
Posts 408,1,4,4,4,0.00,0.000%,250.00000,353.52,512.45,1448.0
Posts 409,1,4,4,4,0.00,0.000%,250.00000,393.31,544.92,1611.0
Posts 410,1,4,4,4,0.00,0.000%,250.00000,392.82,551.51,1609.0
Posts 411,1,4,4,4,0.00,0.000%,250.00000,441.41,587.16,1808.0
Posts 412,1,6,6,6,0.00,0.000%,166.66667,258.14,365.56,1586.0
Posts 413,1,4,4,4,0.00,0.000%,250.00000,224.12,381.59,918.0
Posts 414,1,7,7,7,0.00,0.000%,142.85714,249.02,328.82,1785.0
Posts 415,1,5,5,5,0.00,0.000%,200.00000,218.75,333.59,1120.0
Posts 416,1,5,5,5,0.00,0.000%,200.00000,368.75,484.18,1888.0
Posts 417,1,4,4,4,0.00,0.000%,250.00000,370.85,517.09,1519.0
Posts 418,1,4,4,4,0.00,0.000%,250.00000,399.17,550.78,1635.0
Posts 419,1,4,4,4,0.00,0.000%,250.00000,478.03,621.09,1958.0
Posts 420,1,5,5,5,0.00,0.000%,200.00000,301.76,427.93,1545.0
Posts 421,1,4,4,4,0.00,0.000%,250.00000,223.14,381.35,914.0
Posts 422,1,4,4,4,0.00,0.000%,250.00000,262.21,411.38,1074.0
Posts 423,1,4,4,4,0.00,0.000%,250.00000,361.33,520.75,1480.0
Posts 424,1,5,5,5,0.00,0.000%,200.00000,356.64,474.61,1826.0
Posts 425,1,4,4,4,0.00,0.000%,250.00000,422.36,569.09,1730.0
Posts 426,1,5,5,5,0.00,0.000%,200.00000,265.62,387.89,1360.0
Posts 427,1,6,6,6,0.00,0.000%,166.66667,303.39,399.58,1864.0
Posts 428,1,4,4,4,0.00,0.000%,250.00000,436.28,586.67,1787.0
Posts 429,1,5,5,5,0.00,0.000%,200.00000,336.52,457.81,1723.0
Posts 430,1,6,6,6,0.00,0.000%,166.66667,221.84,327.96,1363.0
Posts 431,1,5,5,5,0.00,0.000%,200.00000,290.82,413.67,1489.0
Posts 432,1,9,9,9,0.00,0.000%,111.11111,164.06,231.12,1512.0
Posts 433,1,5,5,5,0.00,0.000%,200.00000,292.77,412.30,1499.0
Posts 434,1,5,5,5,0.00,0.000%,200.00000,266.80,393.75,1366.0
Posts 435,1,6,6,6,0.00,0.000%,166.66667,192.22,298.01,1181.0
Posts 436,1,6,6,6,0.00,0.000%,166.66667,274.74,378.42,1688.0
Posts 437,1,6,6,6,0.00,0.000%,166.66667,263.67,364.42,1620.0
Posts 438,1,6,6,6,0.00,0.000%,166.66667,286.30,393.39,1759.0
Posts 439,1,5,5,5,0.00,0.000%,200.00000,247.27,366.21,1266.0
Posts 440,1,5,5,5,0.00,0.000%,200.00000,321.88,435.94,1648.0
Posts 441,1,6,6,6,0.00,0.000%,166.66667,206.87,307.94,1271.0
Posts 442,1,5,5,5,0.00,0.000%,200.00000,253.12,373.83,1296.0
Posts 443,1,5,5,5,0.00,0.000%,200.00000,290.82,410.74,1489.0
Posts 444,1,7,7,7,0.00,0.000%,142.85714,191.96,283.76,1376.0
Posts 445,1,11,11,11,0.00,0.000%,90.90909,90.11,147.55,1015.0
Posts 446,1,4,4,4,0.00,0.000%,250.00000,216.80,378.17,888.0
Posts 447,1,5,5,5,0.00,0.000%,200.00000,250.00,376.17,1280.0
Posts 448,1,6,6,6,0.00,0.000%,166.66667,202.31,309.57,1243.0
Posts 449,1,6,6,6,0.00,0.000%,166.66667,232.42,327.80,1428.0
Posts 450,1,6,6,6,0.00,0.000%,166.66667,233.07,327.64,1432.0
Posts 451,1,5,5,5,0.00,0.000%,200.00000,191.99,313.87,983.0
Posts 452,1,5,5,5,0.00,0.000%,200.00000,341.41,453.32,1748.0
Posts 453,1,5,5,5,0.00,0.000%,200.00000,290.82,416.60,1489.0
Posts 454,1,6,6,6,0.00,0.000%,166.66667,247.40,354.82,1520.0
Posts 455,1,4,4,4,0.00,0.000%,250.00000,273.19,432.86,1119.0
Posts 456,1,5,5,5,0.00,0.000%,200.00000,257.42,370.51,1318.0
Posts 457,1,6,6,6,0.00,0.000%,166.66667,186.69,285.97,1147.0
Posts 458,1,7,7,7,0.00,0.000%,142.85714,190.85,280.83,1368.0
Posts 459,1,6,6,6,0.00,0.000%,166.66667,205.08,310.38,1260.0
Posts 460,1,5,5,5,0.00,0.000%,200.00000,287.11,407.81,1470.0
Posts 461,1,5,5,5,0.00,0.000%,200.00000,313.28,430.08,1604.0
Posts 462,1,6,6,6,0.00,0.000%,166.66667,212.89,309.41,1308.0
Posts 463,1,5,5,5,0.00,0.000%,200.00000,309.38,423.63,1584.0
Posts 464,1,7,7,7,0.00,0.000%,142.85714,244.98,325.06,1756.0
Posts 465,1,5,5,5,0.00,0.000%,200.00000,204.49,324.02,1047.0
Posts 466,1,8,8,8,0.00,0.000%,125.00000,208.98,284.06,1712.0
Posts 467,1,6,6,6,0.00,0.000%,166.66667,261.07,363.28,1604.0
Posts 468,1,10,10,10,0.00,0.000%,100.00000,150.98,211.52,1546.0
Posts 469,1,6,6,6,0.00,0.000%,166.66667,227.21,325.85,1396.0
Posts 470,1,5,5,5,0.00,0.000%,200.00000,345.31,458.59,1768.0
Posts 471,1,11,11,11,0.00,0.000%,90.90909,175.34,227.01,1975.0
Posts 472,1,10,10,10,0.00,0.000%,100.00000,95.31,157.91,976.0
Posts 473,1,5,5,5,0.00,0.000%,200.00000,227.73,350.59,1166.0
Posts 474,1,6,6,6,0.00,0.000%,166.66667,245.93,351.89,1511.0
Posts 475,1,5,5,5,0.00,0.000%,200.00000,354.30,466.41,1814.0
Posts 476,1,6,6,6,0.00,0.000%,166.66667,283.37,382.98,1741.0
Posts 477,1,5,5,5,0.00,0.000%,200.00000,311.13,437.30,1593.0
Posts 478,1,5,5,5,0.00,0.000%,200.00000,233.98,349.22,1198.0
Posts 479,1,12,12,12,0.00,0.000%,83.33333,111.90,162.92,1375.0
Posts 480,1,7,7,7,0.00,0.000%,142.85714,196.43,283.48,1408.0
Posts 481,1,9,9,9,0.00,0.000%,111.11111,124.35,193.58,1146.0
Posts 482,1,5,5,5,0.00,0.000%,200.00000,297.27,425.98,1522.0
Posts 483,1,6,6,6,0.00,0.000%,166.66667,250.65,352.54,1540.0
Posts 484,1,5,5,5,0.00,0.000%,200.00000,283.79,407.81,1453.0
Posts 485,1,7,7,7,0.00,0.000%,142.85714,166.16,258.51,1191.0
Posts 486,1,15,15,15,0.00,0.000%,66.66667,77.80,120.70,1195.0
Posts 487,1,21,21,21,0.00,0.000%,47.61905,53.90,84.22,1159.0
Posts 488,1,7,7,7,0.00,0.000%,142.85714,215.54,305.80,1545.0
Posts 489,1,9,9,9,0.00,0.000%,111.11111,139.43,209.20,1285.0
Posts 490,1,7,7,7,0.00,0.000%,142.85714,215.40,307.20,1544.0
Posts 491,1,8,8,8,0.00,0.000%,125.00000,167.72,237.92,1374.0
Posts 492,1,14,14,14,0.00,0.000%,71.42857,124.58,165.11,1786.0
Posts 493,1,6,6,6,0.00,0.000%,166.66667,235.03,334.64,1444.0
Posts 494,1,5,5,5,0.00,0.000%,200.00000,340.43,453.52,1743.0
Posts 495,1,6,6,6,0.00,0.000%,166.66667,290.85,391.11,1787.0
Posts 496,1,7,7,7,0.00,0.000%,142.85714,191.41,282.37,1372.0
Posts 497,1,5,5,5,0.00,0.000%,200.00000,290.23,401.95,1486.0
Posts 498,1,5,5,5,0.00,0.000%,200.00000,233.79,357.03,1197.0
Posts 499,1,5,5,5,0.00,0.000%,200.00000,285.16,402.15,1460.0
Posts 500,1,6,6,6,0.00,0.000%,166.66667,143.72,252.12,883.0
Posts 501,1,7,7,7,0.00,0.000%,142.85714,192.38,277.90,1379.0
Posts 502,1,5,5,5,0.00,0.000%,200.00000,341.21,458.98,1747.0
Posts 503,1,6,6,6,0.00,0.000%,166.66667,285.16,392.42,1752.0
Posts 504,1,7,7,7,0.00,0.000%,142.85714,201.59,286.97,1445.0
Posts 505,1,8,8,8,0.00,0.000%,125.00000,185.30,256.71,1518.0
Posts 506,1,11,11,11,0.00,0.000%,90.90909,131.13,186.43,1477.0
Posts 507,1,8,8,8,0.00,0.000%,125.00000,157.59,230.47,1291.0
Posts 508,1,11,11,11,0.00,0.000%,90.90909,141.78,198.06,1597.0
Posts 509,1,6,6,6,0.00,0.000%,166.66667,260.25,362.14,1599.0
Posts 510,1,7,7,7,0.00,0.000%,142.85714,265.35,351.14,1902.0
Posts 511,1,6,6,6,0.00,0.000%,166.66667,217.94,313.15,1339.0
Posts 512,1,8,8,8,0.00,0.000%,125.00000,219.48,289.31,1798.0
Posts 513,1,6,6,6,0.00,0.000%,166.66667,147.14,253.42,904.0
Posts 514,1,6,6,6,0.00,0.000%,166.66667,246.42,342.12,1514.0
Posts 515,1,4,4,4,0.00,0.000%,250.00000,394.53,540.04,1616.0
Posts 516,1,5,5,5,0.00,0.000%,200.00000,290.82,412.50,1489.0
Posts 517,1,5,5,5,0.00,0.000%,200.00000,323.44,445.12,1656.0
Posts 518,1,5,5,5,0.00,0.000%,200.00000,352.93,475.39,1807.0
Posts 519,1,5,5,5,0.00,0.000%,200.00000,222.27,334.18,1138.0
Posts 520,1,5,5,5,0.00,0.000%,200.00000,255.86,379.69,1310.0
Posts 521,1,6,6,6,0.00,0.000%,166.66667,285.16,387.70,1752.0
Posts 522,1,6,6,6,0.00,0.000%,166.66667,259.60,356.45,1595.0
Posts 523,1,4,4,4,0.00,0.000%,250.00000,308.59,466.80,1264.0
Posts 524,1,7,7,7,0.00,0.000%,142.85714,223.35,306.36,1601.0
Posts 525,1,5,5,5,0.00,0.000%,200.00000,279.49,404.30,1431.0
Posts 526,1,6,6,6,0.00,0.000%,166.66667,282.23,386.72,1734.0
Posts 527,1,6,6,6,0.00,0.000%,166.66667,199.87,303.71,1228.0
Posts 528,1,7,7,7,0.00,0.000%,142.85714,231.31,318.78,1658.0
Posts 529,1,6,6,6,0.00,0.000%,166.66667,298.01,400.39,1831.0
Posts 530,1,7,7,7,0.00,0.000%,142.85714,145.09,232.56,1040.0
Posts 531,1,9,9,9,0.00,0.000%,111.11111,170.36,238.82,1570.0
Posts 532,1,9,9,9,0.00,0.000%,111.11111,153.86,219.94,1418.0
Posts 533,1,7,7,7,0.00,0.000%,142.85714,202.43,292.97,1451.0
Posts 534,1,7,7,7,0.00,0.000%,142.85714,146.76,232.14,1052.0
Posts 535,1,8,8,8,0.00,0.000%,125.00000,140.75,216.67,1153.0
Posts 536,1,6,6,6,0.00,0.000%,166.66667,281.58,386.23,1730.0
Posts 537,1,14,14,14,0.00,0.000%,71.42857,63.76,108.68,914.0
Posts 538,1,9,9,9,0.00,0.000%,111.11111,150.72,218.86,1389.0
Posts 539,1,114,114,114,0.00,0.000%,8.77193,16.66,21.61,1945.0
Posts 540,1,5,5,5,0.00,0.000%,200.00000,203.12,332.03,1040.0
Posts 541,1,9,9,9,0.00,0.000%,111.11111,136.72,201.06,1260.0
Posts 542,1,8,8,8,0.00,0.000%,125.00000,145.51,221.68,1192.0
Posts 543,1,10,10,10,0.00,0.000%,100.00000,105.08,169.63,1076.0
Posts 544,1,8,8,8,0.00,0.000%,125.00000,226.93,297.36,1859.0
Posts 545,1,6,6,6,0.00,0.000%,166.66667,197.59,301.11,1214.0
Posts 546,1,9,9,9,0.00,0.000%,111.11111,134.01,205.84,1235.0
Posts 547,1,7,7,7,0.00,0.000%,142.85714,175.78,255.44,1260.0
Posts 548,1,10,10,10,0.00,0.000%,100.00000,194.34,251.56,1990.0
Posts 549,1,8,8,8,0.00,0.000%,125.00000,125.73,206.54,1030.0
Posts 550,1,9,9,9,0.00,0.000%,111.11111,116.21,184.46,1071.0
Posts 551,1,43,43,43,0.00,0.000%,23.25581,42.42,56.32,1868.0
Posts 552,1,4,4,4,0.00,0.000%,250.00000,368.16,524.90,1508.0
Posts 553,1,19,19,19,0.00,0.000%,52.63158,79.46,110.56,1546.0
Posts 554,1,9,9,9,0.00,0.000%,111.11111,156.79,223.09,1445.0
Posts 555,1,9,9,9,0.00,0.000%,111.11111,206.49,271.38,1903.0
Posts 556,1,8,8,8,0.00,0.000%,125.00000,193.24,271.61,1583.0
Posts 557,1,8,8,8,0.00,0.000%,125.00000,168.70,239.50,1382.0
Posts 558,1,9,9,9,0.00,0.000%,111.11111,114.69,180.45,1057.0
Posts 559,1,5,5,5,0.00,0.000%,200.00000,230.08,343.75,1178.0
Posts 560,1,7,7,7,0.00,0.000%,142.85714,189.45,277.76,1358.0
Posts 561,1,16,16,16,0.00,0.000%,62.50000,104.98,143.19,1720.0
Posts 562,1,8,8,8,0.00,0.000%,125.00000,191.65,266.60,1570.0
Posts 563,1,13,13,13,0.00,0.000%,76.92308,76.02,122.52,1012.0
Posts 564,1,24,24,24,0.00,0.000%,41.66667,47.28,72.43,1162.0
Posts 565,1,16,16,16,0.00,0.000%,62.50000,98.14,138.12,1608.0
Posts 566,1,10,10,10,0.00,0.000%,100.00000,192.97,249.80,1976.0
Posts 567,1,9,9,9,0.00,0.000%,111.11111,193.79,256.84,1786.0
Posts 568,1,8,8,8,0.00,0.000%,125.00000,151.73,224.24,1243.0
Posts 569,1,9,9,9,0.00,0.000%,111.11111,161.68,224.72,1490.0
Posts 570,1,14,14,14,0.00,0.000%,71.42857,91.38,132.60,1310.0
Posts 571,1,17,17,17,0.00,0.000%,58.82353,99.38,135.17,1730.0
Posts 572,1,48,48,48,0.00,0.000%,20.83333,27.63,40.00,1358.0
Posts 573,1,36,36,36,0.00,0.000%,27.77778,27.21,44.33,1003.0
Posts 574,1,7,7,7,0.00,0.000%,142.85714,162.11,243.30,1162.0
Posts 575,1,34,34,34,0.00,0.000%,29.41176,45.32,64.14,1578.0
Posts 576,1,4,4,4,0.00,0.000%,250.00000,343.26,497.80,1406.0
Posts 577,1,4,4,4,0.00,0.000%,250.00000,256.84,414.31,1052.0
Posts 578,1,7,7,7,0.00,0.000%,142.85714,148.02,231.45,1061.0
Posts 579,1,4,4,4,0.00,0.000%,250.00000,383.79,540.53,1572.0
Posts 580,1,5,5,5,0.00,0.000%,200.00000,305.66,431.25,1565.0
Posts 581,1,5,5,5,0.00,0.000%,200.00000,197.85,320.90,1013.0
Posts 582,1,5,5,5,0.00,0.000%,200.00000,208.40,335.35,1067.0
Posts 583,1,5,5,5,0.00,0.000%,200.00000,324.80,453.52,1663.0
Posts 584,1,5,5,5,0.00,0.000%,200.00000,320.51,438.67,1641.0
Posts 585,1,5,5,5,0.00,0.000%,200.00000,232.03,348.63,1188.0
Posts 586,1,6,6,6,0.00,0.000%,166.66667,217.94,313.31,1339.0
Posts 587,1,6,6,6,0.00,0.000%,166.66667,192.22,298.34,1181.0
Posts 588,1,48,48,48,0.00,0.000%,20.83333,23.36,36.36,1148.0
Posts 589,1,5,5,5,0.00,0.000%,200.00000,246.48,363.67,1262.0
Posts 590,1,5,5,5,0.00,0.000%,200.00000,194.92,317.19,998.0
Posts 591,1,5,5,5,0.00,0.000%,200.00000,268.95,394.14,1377.0
Posts 592,1,4,4,4,0.00,0.000%,250.00000,373.29,514.89,1529.0
Posts 593,1,5,5,5,0.00,0.000%,200.00000,336.33,454.69,1722.0
Posts 594,1,10,10,10,0.00,0.000%,100.00000,150.20,209.96,1538.0
Posts 595,1,9,9,9,0.00,0.000%,111.11111,133.90,197.27,1234.0
Posts 596,1,9,9,9,0.00,0.000%,111.11111,220.05,282.12,2028.0
Posts 597,1,7,7,7,0.00,0.000%,142.85714,142.16,232.14,1019.0
Posts 598,1,8,8,8,0.00,0.000%,125.00000,151.61,225.83,1242.0
Posts 599,1,8,8,8,0.00,0.000%,125.00000,156.86,229.00,1285.0
Posts 600,1,8,8,8,0.00,0.000%,125.00000,123.78,198.61,1014.0
Posts 601,1,10,10,10,0.00,0.000%,100.00000,137.89,199.02,1412.0
Posts 602,1,6,6,6,0.00,0.000%,166.66667,241.21,341.31,1482.0
Posts 603,1,5,5,5,0.00,0.000%,200.00000,259.96,376.17,1331.0
Posts 604,1,6,6,6,0.00,0.000%,166.66667,165.53,264.49,1017.0
Posts 605,1,10,10,10,0.00,0.000%,100.00000,83.59,149.22,856.0
Posts 606,1,5,5,5,0.00,0.000%,200.00000,361.33,477.73,1850.0
Posts 607,1,330,330,330,0.00,0.000%,3.03030,5.47,7.21,1849.0
Posts 608,1,6,6,6,0.00,0.000%,166.66667,166.67,267.25,1024.0
Posts 609,1,8,8,8,0.00,0.000%,125.00000,216.92,296.26,1777.0
Posts 610,1,10,10,10,0.00,0.000%,100.00000,125.49,184.77,1285.0
Posts 611,1,12,12,12,0.00,0.000%,83.33333,127.03,180.01,1561.0
Posts 612,1,6,6,6,0.00,0.000%,166.66667,221.35,326.01,1360.0
Posts 613,1,7,7,7,0.00,0.000%,142.85714,184.43,273.02,1322.0
Posts 614,1,9,9,9,0.00,0.000%,111.11111,207.36,271.92,1911.0
Posts 615,1,6,6,6,0.00,0.000%,166.66667,238.93,332.36,1468.0
Posts 616,1,11,11,11,0.00,0.000%,90.90909,173.38,225.85,1953.0
Posts 617,1,8,8,8,0.00,0.000%,125.00000,196.90,276.49,1613.0
Posts 618,1,6,6,6,0.00,0.000%,166.66667,236.17,333.33,1451.0
Posts 619,1,7,7,7,0.00,0.000%,142.85714,165.32,254.32,1185.0
Posts 620,1,7,7,7,0.00,0.000%,142.85714,200.20,286.27,1435.0
Posts 621,1,6,6,6,0.00,0.000%,166.66667,304.20,402.67,1869.0
Posts 622,1,6,6,6,0.00,0.000%,166.66667,252.28,358.07,1550.0
Posts 623,1,10,10,10,0.00,0.000%,100.00000,161.43,220.02,1653.0
Posts 624,1,7,7,7,0.00,0.000%,142.85714,214.56,298.41,1538.0
Posts 625,1,6,6,6,0.00,0.000%,166.66667,191.41,290.36,1176.0
Posts 626,1,11,11,11,0.00,0.000%,90.90909,95.88,153.32,1080.0
Posts 627,1,6,6,6,0.00,0.000%,166.66667,237.30,337.73,1458.0
Posts 628,1,11,11,11,0.00,0.000%,90.90909,102.10,154.03,1150.0
Posts 629,1,8,8,8,0.00,0.000%,125.00000,197.63,268.43,1619.0
Posts 630,1,6,6,6,0.00,0.000%,166.66667,318.20,415.04,1955.0
Posts 631,1,7,7,7,0.00,0.000%,142.85714,164.48,254.32,1179.0
Posts 632,1,10,10,10,0.00,0.000%,100.00000,147.27,208.98,1508.0
Posts 633,1,6,6,6,0.00,0.000%,166.66667,229.65,332.68,1411.0
Posts 634,1,5,5,5,0.00,0.000%,200.00000,339.45,451.37,1738.0
Posts 635,1,6,6,6,0.00,0.000%,166.66667,273.60,377.77,1681.0
Posts 636,1,5,5,5,0.00,0.000%,200.00000,289.84,405.08,1484.0
Posts 637,1,6,6,6,0.00,0.000%,166.66667,247.88,344.24,1523.0
Posts 638,1,9,9,9,0.00,0.000%,111.11111,130.53,193.58,1203.0
Posts 639,1,5,5,5,0.00,0.000%,200.00000,254.10,375.39,1301.0
Posts 640,1,5,5,5,0.00,0.000%,200.00000,200.00,322.46,1024.0
Posts 641,1,5,5,5,0.00,0.000%,200.00000,280.27,405.86,1435.0
Posts 642,1,5,5,5,0.00,0.000%,200.00000,248.83,363.87,1274.0
Posts 643,1,6,6,6,0.00,0.000%,166.66667,294.76,396.65,1811.0
Posts 644,1,6,6,6,0.00,0.000%,166.66667,240.40,343.26,1477.0
Posts 645,1,5,5,5,0.00,0.000%,200.00000,284.96,405.08,1459.0
Posts 646,1,7,7,7,0.00,0.000%,142.85714,152.34,240.79,1092.0
Posts 647,1,8,8,8,0.00,0.000%,125.00000,151.61,227.54,1242.0
Posts 648,1,6,6,6,0.00,0.000%,166.66667,304.04,404.46,1868.0
Posts 649,1,5,5,5,0.00,0.000%,200.00000,329.69,448.05,1688.0
Posts 650,1,6,6,6,0.00,0.000%,166.66667,259.44,355.63,1594.0
Posts 651,1,6,6,6,0.00,0.000%,166.66667,207.36,300.94,1274.0
Posts 652,1,6,6,6,0.00,0.000%,166.66667,237.96,339.52,1462.0
Posts 653,1,7,7,7,0.00,0.000%,142.85714,209.40,294.78,1501.0
Posts 654,1,6,6,6,0.00,0.000%,166.66667,132.98,244.47,817.0
Posts 655,1,13,13,13,0.00,0.000%,76.92308,76.85,125.75,1023.0
Posts 656,1,14,14,14,0.00,0.000%,71.42857,88.87,130.30,1274.0
Posts 657,1,211,211,211,0.00,0.000%,4.73934,6.57,9.39,1419.0
Posts 658,1,11,11,11,0.00,0.000%,90.90909,163.09,217.06,1837.0
Posts 659,1,4,4,4,0.00,0.000%,250.00000,406.25,548.58,1664.0
Posts 660,1,4,4,4,0.00,0.000%,250.00000,342.53,500.00,1403.0
Posts 661,1,4,4,4,0.00,0.000%,250.00000,276.12,421.88,1131.0
Posts 662,1,5,5,5,0.00,0.000%,200.00000,352.34,470.90,1804.0
Posts 663,1,5,5,5,0.00,0.000%,200.00000,291.21,413.87,1491.0
Posts 664,1,4,4,4,0.00,0.000%,250.00000,416.26,560.30,1705.0
Posts 665,1,9,9,9,0.00,0.000%,111.11111,124.78,191.08,1150.0
Posts 666,1,4,4,4,0.00,0.000%,250.00000,315.92,473.63,1294.0
Posts 667,1,4,4,4,0.00,0.000%,250.00000,402.34,545.17,1648.0
Posts 668,1,3,3,3,0.00,0.000%,333.33333,599.61,794.60,1842.0
Posts 669,1,4,4,4,0.00,0.000%,250.00000,399.41,558.35,1636.0
Posts 670,1,4,4,4,0.00,0.000%,250.00000,344.48,489.99,1411.0
Posts 671,1,5,5,5,0.00,0.000%,200.00000,290.43,412.89,1487.0
Posts 672,1,6,6,6,0.00,0.000%,166.66667,257.81,358.40,1584.0
Posts 673,1,5,5,5,0.00,0.000%,200.00000,274.41,402.73,1405.0
Posts 674,1,5,5,5,0.00,0.000%,200.00000,238.87,366.02,1223.0
Posts 675,1,5,5,5,0.00,0.000%,200.00000,237.11,363.28,1214.0
Posts 676,1,5,5,5,0.00,0.000%,200.00000,320.31,441.60,1640.0
Posts 677,1,5,5,5,0.00,0.000%,200.00000,364.26,485.55,1865.0
